gbifID,abstract,accessRights,accrualMethod,accrualPeriodicity,accrualPolicy,alternative,audience,available,bibliographicCitation,conformsTo,contributor,coverage,created,creator,date,dateAccepted,dateCopyrighted,dateSubmitted,description,educationLevel,extent,format,hasFormat,hasPart,hasVersion,identifier,instructionalMethod,isFormatOf,isPartOf,isReferencedBy,isReplacedBy,isRequiredBy,isVersionOf,issued,language,license,mediator,medium,modified,provenance,publisher,references,relation,replaces,requires,rights,rightsHolder,source,spatial,subject,tableOfContents,temporal,title,type,valid,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,recordedByID,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,degreeOfEstablishment,pathway,georeferenceVerificationStatus,occurrenceStatus,preparations,disposition,associatedOccurrences,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOrganisms,previousIdentifications,organismRemarks,materialSampleID,eventID,parentEventID,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verticalDatum,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,verbatimIdentification,identificationQualifier,typeStatus,identifiedBy,identifiedByID,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,subfamily,genus,genericName,subgenus,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarEpithet,taxonRank,verbatimTaxonRank,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,datasetKey,publishingCountry,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,distanceAboveSurface,distanceAboveSurfaceAccuracy,issue,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,subgenusKey,speciesKey,species,acceptedScientificName,verbatimScientificName,typifiedName,protocol,lastParsed,lastCrawled,repatriated,relativeOrganismQuantity,level0Gid,level0Name,level1Gid,level1Name,level2Gid,level2Name,level3Gid,level3Name,iucnRedListCategory
2430663748,,,,,,,,,,,,,,,,,,,,,,,,,,b73f526d-1a58-4e3b-b396-f1b5b4eaca77,,,,,,,,,,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,UMMZ,ummz_fish,Fish,,PRESERVED_SPECIMEN,,,,b73f526d-1a58-4e3b-b396-f1b5b4eaca77,252252,,"Hernán López-Fernández, Karen Alofs, Michael Grabda, Ellary Marano, Calla Beers, Tom Hayek, Michael Hostetler",,,,,,,,,,,,,PRESENT,EtOH - 1,,,,,,,,,,,,,,,,,UMBSF19-16,2019-08-21T00:00:00,,,,2019,8,21,,,cast net,,,,,,,,,NORTH_AMERICA,,,,US,Michigan,,,Douglas Lake - Hook Point,,,,,,,,,45.582825,-84.662907,,,,,,,,,,,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lepomis macrochirus Rafinesque, 1819",,,,,,,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,,Lepomis,Lepomis,,,macrochirus,,,SPECIES,,,,ACCEPTED,,,59825263-9f89-43a9-8f22-c22a6a53b8fc,US,2022-08-01T00:05:04.262Z,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,TRUE,FALSE,2394503,2394503,1,44,204,587,8513,2394482,,2394503,Lepomis macrochirus,"Lepomis macrochirus Rafinesque, 1819",,,DWC_ARCHIVE,2022-08-01T00:05:04.262Z,2022-08-01T00:01:42.501Z,FALSE,,USA,United States,USA.23_1,Michigan,USA.23.16_1,Cheboygan,,,LC
2430663704,,,,,,,,,,,,,,,,,,,,,,,,,,f8512f6d-1fc7-4aca-91ff-6234c34e8ecf,,,,,,,,,,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,UMMZ,ummz_fish,Fish,,PRESERVED_SPECIMEN,,,,f8512f6d-1fc7-4aca-91ff-6234c34e8ecf,252248,,"Hernán López-Fernández, Karen Alofs, Michael Grabda, Ellary Marano, Calla Beers, Tom Hayek, Michael Hostetler",,,,,,,,,,,,,PRESENT,EtOH - 1,,,,,,,,,,,,,,,,,UMBSF19-14,2019-08-20T00:00:00,,,,2019,8,20,,,minnow traps,,,,,,,,,NORTH_AMERICA,,,,US,Michigan,,,Douglas Lake - Maple Bay,,,,,,,,,45.576024,-84.727069,,,,,,,,,,,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lepomis macrochirus Rafinesque, 1819",,,,,,,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,,Lepomis,Lepomis,,,macrochirus,,,SPECIES,,,,ACCEPTED,,,59825263-9f89-43a9-8f22-c22a6a53b8fc,US,2022-08-01T00:05:05.241Z,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,TRUE,FALSE,2394503,2394503,1,44,204,587,8513,2394482,,2394503,Lepomis macrochirus,"Lepomis macrochirus Rafinesque, 1819",,,DWC_ARCHIVE,2022-08-01T00:05:05.241Z,2022-08-01T00:01:42.501Z,FALSE,,USA,United States,USA.23_1,Michigan,USA.23.16_1,Cheboygan,,,LC
2430663691,,,,,,,,,,,,,,,,,,,,,,,,,,c06a7267-d469-484d-bb10-26865420155a,,,,,,,,,,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,UMMZ,ummz_fish,Fish,,PRESERVED_SPECIMEN,,,,c06a7267-d469-484d-bb10-26865420155a,252259,,"Hernán López-Fernández, Karen Alofs",,,,,,,,,,,,,PRESENT,EtOH - 1,,,,,,,,,,,,,,,,,HLF19-48,,,,,,,,,,,,,,,,,,,NORTH_AMERICA,,,,US,Michigan,,,Douglas Lake,,,,,,,,,45.582825,-84.662907,,,,,,,,,,,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lepomis macrochirus Rafinesque, 1819",,,,,,,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,,Lepomis,Lepomis,,,macrochirus,,,SPECIES,,,,ACCEPTED,,,59825263-9f89-43a9-8f22-c22a6a53b8fc,US,2022-08-01T00:05:04.508Z,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,TRUE,FALSE,2394503,2394503,1,44,204,587,8513,2394482,,2394503,Lepomis macrochirus,"Lepomis macrochirus Rafinesque, 1819",,,DWC_ARCHIVE,2022-08-01T00:05:04.508Z,2022-08-01T00:01:42.501Z,FALSE,,USA,United States,USA.23_1,Michigan,USA.23.16_1,Cheboygan,,,LC
2430663685,,,,,,,,,,,,,,,,,,,,,,,,,,03704360-3923-4800-9c16-6034e6593b00,,,,,,,,,,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,UMMZ,ummz_fish,Fish,,PRESERVED_SPECIMEN,,,,03704360-3923-4800-9c16-6034e6593b00,252192,,"Hernán López-Fernández, Karen Alofs, Michael Grabda, Ellary Marano, Calla Beers, Tom Hayek, Michael Hostetler",,,,,,,,,,,,,PRESENT,EtOH - 1,,,,,,,,,,,,,,,,,,2019-08-13T00:00:00,,,,2019,8,13,,,minnow traps,,,,,,,,,NORTH_AMERICA,,,,US,Michigan,,,Douglas Lake - Hook Point,,,,,,,,,45.583088,-84.663492,,,,,,,,,,,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lepomis macrochirus Rafinesque, 1819",,,,,,,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,,Lepomis,Lepomis,,,macrochirus,,,SPECIES,,,,ACCEPTED,,,59825263-9f89-43a9-8f22-c22a6a53b8fc,US,2022-08-01T00:04:59.918Z,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,TRUE,FALSE,2394503,2394503,1,44,204,587,8513,2394482,,2394503,Lepomis macrochirus,"Lepomis macrochirus Rafinesque, 1819",,,DWC_ARCHIVE,2022-08-01T00:04:59.918Z,2022-08-01T00:01:42.501Z,FALSE,,USA,United States,USA.23_1,Michigan,USA.23.16_1,Cheboygan,,,LC
2430663649,,,,,,,,,,,,,,,,,,,,,,,,,,db229da6-ee74-448d-89fc-06af3bdf3728,,,,,,,,,,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,UMMZ,ummz_fish,Fish,,PRESERVED_SPECIMEN,,,,db229da6-ee74-448d-89fc-06af3bdf3728,252250,,"Hernán López-Fernández, Karen Alofs, Michael Grabda, Ellary Marano, Calla Beers, Tom Hayek, Michael Hostetler",,,,,,,,,,,,,PRESENT,EtOH - 1,,,,,,,,,,,,,,,,,UMBSF19-16,2019-08-21T00:00:00,,,,2019,8,21,,,minnow traps,,,,,,,,,NORTH_AMERICA,,,,US,Michigan,,,Douglas Lake - Hook Point,,,,,,,,,45.582825,-84.662907,,,,,,,,,,,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lepomis macrochirus Rafinesque, 1819",,,,,,,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,,Lepomis,Lepomis,,,macrochirus,,,SPECIES,,,,ACCEPTED,,,59825263-9f89-43a9-8f22-c22a6a53b8fc,US,2022-08-01T00:05:04.808Z,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,TRUE,FALSE,2394503,2394503,1,44,204,587,8513,2394482,,2394503,Lepomis macrochirus,"Lepomis macrochirus Rafinesque, 1819",,,DWC_ARCHIVE,2022-08-01T00:05:04.808Z,2022-08-01T00:01:42.501Z,FALSE,,USA,United States,USA.23_1,Michigan,USA.23.16_1,Cheboygan,,,LC
1889146980,,,,,,,,,,,,,,,,,,,,,,,,,,076040e2-d877-4b3a-bd40-8bb1c3d4b1e2,,,,,,,,,,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,UMMZ,ummz_fish,Fish,,PRESERVED_SPECIMEN,,,,076040e2-d877-4b3a-bd40-8bb1c3d4b1e2,249747,,J. Norrocky,,,,,,,,,,,,,PRESENT,skeleton - 3,,,,,,,,,,,,,,,,,J*N2003-7-26,2003-07-26T00:00:00,,,,2003,7,26,,,,,,,,,,,,NORTH_AMERICA,,,,US,Ohio,,,"Resthaven, Castalia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lepomis macrochirus Rafinesque, 1819",,,,,,,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,,Lepomis,Lepomis,,,macrochirus,,,SPECIES,,,,ACCEPTED,,otoliths and scales,59825263-9f89-43a9-8f22-c22a6a53b8fc,US,2022-08-01T00:05:00.194Z,,,,,,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,FALSE,FALSE,2394503,2394503,1,44,204,587,8513,2394482,,2394503,Lepomis macrochirus,"Lepomis macrochirus Rafinesque, 1819",,,DWC_ARCHIVE,2022-08-01T00:05:00.194Z,2022-08-01T00:01:42.501Z,FALSE,,,,,,,,,,LC
1889146975,,,,,,,,,,,,,,,,,,,,,,,,,,ffc72099-16c3-42d9-ad8f-e4cffb08a14d,,,,,,,,,,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,UMMZ,ummz_fish,Fish,,PRESERVED_SPECIMEN,,,,ffc72099-16c3-42d9-ad8f-e4cffb08a14d,249748,,J. Norrocky,,,,,,,,,,,,,PRESENT,skeleton - 2,,,,,,,,,,,,,,,,,J*N2005-1-15,2005-01-15T00:00:00,,,,2005,1,15,,,,,,,,,,,,NORTH_AMERICA,,,,US,Georgia,,,"Abigail Plantation, 6 mi. west of Albany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lepomis macrochirus Rafinesque, 1819",,,,,,,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,,Lepomis,Lepomis,,,macrochirus,,,SPECIES,,,,ACCEPTED,,otoliths and scales,59825263-9f89-43a9-8f22-c22a6a53b8fc,US,2022-08-01T00:04:58.306Z,,,,,,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,FALSE,FALSE,2394503,2394503,1,44,204,587,8513,2394482,,2394503,Lepomis macrochirus,"Lepomis macrochirus Rafinesque, 1819",,,DWC_ARCHIVE,2022-08-01T00:04:58.306Z,2022-08-01T00:01:42.501Z,FALSE,,,,,,,,,,LC
1889146959,,,,,,,,,,,,,,,,,,,,,,,,,,7fc190ae-983f-4094-a8ba-02309a6f5aeb,,,,,,,,,,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,UMMZ,ummz_fish,Fish,,PRESERVED_SPECIMEN,,,,7fc190ae-983f-4094-a8ba-02309a6f5aeb,249749,,J. Norrocky,,,,,,,,,,,,,PRESENT,skeleton - 1,,,,,,,,,,,,,,,,,J*N2005-1,,,,,,,,,,,,,,,,,,,NORTH_AMERICA,,,,US,Georgia,Holmes,,"Creek on Rt. 84, 4 mi. south of Albany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lepomis macrochirus Rafinesque, 1819",,,,,,,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,,Lepomis,Lepomis,,,macrochirus,,,SPECIES,,,,ACCEPTED,,otoliths and scales,59825263-9f89-43a9-8f22-c22a6a53b8fc,US,2022-08-01T00:04:52.730Z,,,,,,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,FALSE,FALSE,2394503,2394503,1,44,204,587,8513,2394482,,2394503,Lepomis macrochirus,"Lepomis macrochirus Rafinesque, 1819",,,DWC_ARCHIVE,2022-08-01T00:04:52.730Z,2022-08-01T00:01:42.501Z,FALSE,,,,,,,,,,LC
1889146863,,,,,,,,,,,,,,,,,,,,,,,,,,5d28840f-4a59-4559-97af-356b944321d0,,,,,,,,,,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,UMMZ,ummz_fish,Fish,,PRESERVED_SPECIMEN,,,,5d28840f-4a59-4559-97af-356b944321d0,249639,,J. Norrocky,,,,,,,,,,,,,PRESENT,skeleton - 3,,,,,,,Douglas Nelson,,,,,,,,,,J*N2006-4-6,,,,,,,,,,,,,,,,,,,NORTH_AMERICA,,,,US,Arkansas,Garland,,"Lake Ouachita, N of Hot Springs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lepomis macrochirus Rafinesque, 1819",,,,,,,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,,Lepomis,Lepomis,,,macrochirus,,,SPECIES,,,,ACCEPTED,,"otoliths, scales",59825263-9f89-43a9-8f22-c22a6a53b8fc,US,2022-08-01T00:04:50.965Z,,,,,,,RECORDED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,FALSE,FALSE,2394503,2394503,1,44,204,587,8513,2394482,,2394503,Lepomis macrochirus,"Lepomis macrochirus Rafinesque, 1819",,,DWC_ARCHIVE,2022-08-01T00:04:50.965Z,2022-08-01T00:01:42.501Z,FALSE,,,,,,,,,,LC
1889146716,,,,,,,,,,,,,,,,,,,,,,,,,,4831ac1b-ba4f-4dbd-b24a-9b77fb34599f,,,,,,,,,,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,UMMZ,ummz_fish,Fish,,PRESERVED_SPECIMEN,,,,4831ac1b-ba4f-4dbd-b24a-9b77fb34599f,249472,,"KM Birkett, J Diana, J Wright",,,,,,,,,,,,,PRESENT,EtOH - 2,,,,,,,Anat Belasen,,,,,,,,,,KMB08-08,2008-07-17T00:00:00,,,,2008,7,17,,,Barge  electrofisher,,,,,,,,,NORTH_AMERICA,,,,US,Michigan,Washtenaw,,Huron River at Zeeb Rd. bridge,,,,,,,,,42.32363,-83.839375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lepomis macrochirus Rafinesque, 1819",,,,,,,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,,Lepomis,Lepomis,,,macrochirus,,,SPECIES,,,,ACCEPTED,,,59825263-9f89-43a9-8f22-c22a6a53b8fc,US,2022-08-01T00:05:01.680Z,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,TRUE,FALSE,2394503,2394503,1,44,204,587,8513,2394482,,2394503,Lepomis macrochirus,"Lepomis macrochirus Rafinesque, 1819",,,DWC_ARCHIVE,2022-08-01T00:05:01.680Z,2022-08-01T00:01:42.501Z,FALSE,,USA,United States,USA.23_1,Michigan,USA.23.85_1,Washtenaw,,,LC
