"subject_id","new_key","lakename","county","begin_date_day","begin_date_month","begin_date_year","development","do_below_thermo_ppm","lake_area_ha","max_depth_min_m","temp_surface_min_c","LAT_DD","LONG_DD","url_front","url_back"
58643103,"1-165","HUBBARD","ALCONA",NA,"August",1925,NA,NA,NA,NA,NA,44.80416,-83.55954,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Alcona_Hubbard_SUMM_Doc1180.jpg",NA
58643104,"1-165","HUBBARD","ALCONA",NA,"April",1926,NA,NA,NA,NA,NA,44.80416,-83.55954,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Alcona_Hubbard_SUMM_Doc1183.jpg",NA
58643105,"40-244","BASS","KALKASKA",29,"July",1930,NA,NA,NA,NA,NA,44.80211,-84.88414,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Bass28N_5W_S23_SUMM_005.jpg",NA
58643107,"4-1","BEAVER","ALPENA",NA,"April",1926,NA,NA,NA,NA,NA,44.93777,-83.79899,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Alpena_Beaver_SUMM_20200219151000777_0003.jpg",NA
58643108,"40-104","BEAR","KALKASKA",15,"February",1926,NA,NA,NA,NA,NA,44.72916,-84.94399,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Bear_SUMM_024.jpg",NA
58643109,"40-102","BLACKMIDDLE","KALKASKA",5,"August",1930,NA,NA,NA,NA,NA,44.72916,-84.92593,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_BlackMiddle_SUMM_002.jpg",NA
58643110,"40-104","BEAR","KALKASKA",7,"August",1930,NA,NA,NA,NA,NA,44.72916,-84.94399,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Bear_SUMM_025.jpg",NA
58643111,"40-103","BLACKUPPER","KALKASKA",9,"August",1930,NA,NA,NA,NA,NA,44.73499,-84.92343,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_BlackUpper_SUMM_002.jpg",NA
58643112,"40-110","BLACKSOUTH","KALKASKA",2,"August",1930,NA,NA,NA,NA,NA,44.72082,-84.92482,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_BlackSouth_SUMM_001.jpg",NA
58643113,"40-247","BLUELITTLE","KALKASKA",28,"July",1930,NA,NA,NA,NA,NA,44.8011,-84.89426,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_BlueLittle_SUMM_004.jpg",NA
58643114,"40-158","BLUE","KALKASKA",12,"August",1930,NA,NA,NA,NA,NA,44.74638,-85.15843,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Blue_SUMM_007.jpg",NA
58643116,"40-216","BLUENORTH","KALKASKA",28,"July",1930,NA,NA,NA,NA,NA,44.81666,-84.89649,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_BlueNorth_SUMM_002.jpg",NA
58643117,"40-203","CROOKED","KALKASKA",29,"July",1930,NA,NA,NA,NA,NA,44.85036,-84.90764,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Crooked_SUMM_005.jpg",NA
58643118,"40-27","CRANBERRY","KALKASKA",5,"August",1930,NA,NA,NA,NA,NA,44.68082,-84.96732,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Cranberry_SUMM_002.jpg",NA
58643119,"40-307","CROYNORTH","KALKASKA",24,"August",1930,NA,NA,NA,NA,NA,44.81471,-85.09343,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_CroyNorth_SUMM_004.jpg",NA
58643120,"40-209","EAGLE","KALKASKA",21,"July",1930,NA,NA,NA,NA,NA,44.83582,-84.94621,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Eagle_SUMM_006.jpg",NA
58643121,"40-188","DARBY","KALKASKA",27,"August",1930,NA,NA,NA,NA,NA,44.7236,-85.31399,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Darby_SUMM_003.jpg",NA
58643122,"40-61","EAST","KALKASKA",2,"September",1930,NA,NA,NA,NA,NA,44.63665,-85.15621,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_East26N_7W_S21-22_SUMM_002.jpg",NA
58643123,"40-96","EAST","KALKASKA",3,"August",1930,NA,NA,NA,NA,NA,44.75943,-84.95399,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_East27N_5W_S6_SUMM_004.jpg",NA
58643124,"40-127","FIVELAKE","KALKASKA",4,"July",1930,NA,NA,NA,NA,NA,44.76471,-85.06093,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_FiveLake_SUMM_002.jpg",NA
58643125,"40-116","GRASS","KALKASKA",5,"July",1930,NA,NA,NA,NA,NA,44.7561,-85.00426,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Grass_SUMM_009.jpg",NA
58643126,"40-192","GUERNSEYBIG","KALKASKA",29,"August",1930,NA,NA,NA,NA,NA,44.7111,-85.32704,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_GuernseyBig_SUMM_014.jpg",NA
58643127,"40-199","GUERNSEYLITTLESOUTH","KALKASKA",29,"August",1930,NA,NA,NA,NA,NA,44.71082,-85.31954,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_GuernseyLittleSouth_SUMM_002.jpg",NA
58643128,"40-189","GUERNSEYLITTLENORTH","KALKASKA",27,"August",1930,NA,NA,NA,NA,NA,44.71404,-85.31835,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_GuernseyLittleNorth_SUMM_004.jpg",NA
